area_actual,grupo_padre,grupo,nuevo_nombre,activo,notas
ADI (Academia de Idiomas),Extras,,ADI (Academia de Idiomas),1,
Acreditación,Administrativos,Vicerrectorado,Acreditación,1,
Archivo,Administrativos,,Archivo,1,
Archivos Contabilidad,Administrativos,Rectorado,Archivos Contabilidad,1,
Asistente F.C.S.,Administrativos,,Asistente F.C.S.,1,
Auditorio,Extras,Eventos,Auditorio,1,
Aula A-01,Académicos,,Academicos Modular,1,
Aula A-02,Académicos,,Academicos Modular,1,
Aula A-03,Académicos,,Academicos Modular,1,
Aula A-04,Académicos,,Academicos Modular,1,
Aula A-05,Académicos,,Academicos Modular,1,
Aula A-06,Académicos,,Academicos Modular,1,
Aula A-07,Académicos,,Academicos Modular,1,
Aula A-08,Académicos,,Academicos Modular,1,
Aula A-09,Académicos,,Academicos Modular,1,
Aula A-10,Académicos,,Academicos Modular,1,
Aula A-11,Académicos,,Academicos Modular,1,
Aula A-12,Académicos,,Academicos Modular,1,
Aula B-01,Académicos,,Academicos Modular,1,
Aula B-01 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-02,Académicos,,Academicos Modular,1,
Aula B-02 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-03,Académicos,,Academicos Modular,1,
Aula B-03 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-04,Académicos,,Academicos Modular,1,
Aula B-04 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-05,Académicos,,Academicos Modular,1,
Aula B-05 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-06,Académicos,,Academicos Modular,1,
Aula B-06 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-07,Académicos,,Academicos Modular,1,
Aula B-07 MED,Académicos,,Academicos Semestral,1,"variante histórica, considerar desactivar"
Aula B-08,Académicos,,Academicos Modular,1,
Aula B-09,Académicos,,Academicos Modular,1,
Aula B-10,Académicos,,Academicos Modular,1,
Aula B-11,Académicos,,Academicos Modular,1,
Aula B-12,Académicos,,Academicos Modular,1,
Aula B-13,Académicos,,Academicos Modular,1,
Aula B-14,Académicos,,Academicos Modular,1,
Aula B-15,Académicos,,Academicos Modular,1,
Aula B-16,Académicos,,Academicos Modular,1,
Aula B-17,Académicos,,Academicos Modular,1,
Aula B-18,Académicos,,Academicos Modular,1,
Aula B-19,Académicos,,Academicos Modular,1,
Aula B-20,Académicos,,Academicos Modular,1,
Aula B-21,Académicos,,Academicos Modular,1,
Aula C-01,Académicos,,Academicos Modular,1,
Aula C-02,Académicos,,Academicos Modular,1,
Aula C-03,Académicos,,Academicos Modular,1,
Aula C-04,Académicos,,Academicos Modular,1,
Aula C-05,Académicos,,Academicos Modular,1,
Aula C-06,Académicos,,Academicos Modular,1,
Aula C-07,Académicos,,Academicos Modular,1,
Aula C-08,Académicos,,Academicos Modular,1,
